target	seed	sample	method	lig_id	iptm	is_succ	is_proper	lig_rmsd_ch_mapping	lig_rmsd	lddt_pli	lddt_lp	bb_rmsd_lp	rec_rmsd	rec_lddt	tm_score	rec_ch_mapping	sucos_shape	pocket_qcov	sucos_shape_pocket_qcov
A71EV2A-x4390a	seed_1449838082	2	boltz-2	DMS-1-C-lig	0.6690799593925476	False	False	C:B	13.19620418548584	0.0	0.9895833333333334	0.07699123024940491	16.175	0.837	0.583	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	2	boltz-2	LIG1-1-D-lig	0.6690799593925476	False	True	A:A	3.1519968509674072	0.6291773915290833	0.9231397459165154	0.4472310245037079	16.175	0.837	0.583	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1449838082	2	boltz-2	ZN-1-E-lig	0.6690799593925476	True	False	C:A	0.11946726590394974	0.9795918464660645	1.0	0.06402969360351562	16.175	0.837	0.583	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	0	boltz-2	DMS-1-C-lig	0.8590846657752991	False	False	C:B	13.201053619384766	0.0	0.9604166666666667	0.07056005299091339	16.778	0.838	0.599	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	0	boltz-2	LIG1-1-D-lig	0.8590846657752991	False	True	A:A	3.9409077167510986	0.5465116500854492	0.8491379310344828	0.5874059200286865	16.778	0.838	0.599	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1449838082	0	boltz-2	ZN-1-E-lig	0.8590846657752991	True	False	C:B	0.060609035193920135	0.9852941036224365	0.9991319444444444	0.060773815959692	16.778	0.838	0.599	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	1	boltz-2	DMS-1-C-lig	0.835943341255188	False	False	C:B	13.655538558959961	0.0	0.975	0.06475841999053955	16.147	0.84	0.574	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	1	boltz-2	LIG1-1-D-lig	0.835943341255188	False	True	A:A	5.73560094833374	0.25221022963523865	0.8597096188747732	0.5570595264434814	16.147	0.84	0.574	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1449838082	1	boltz-2	ZN-1-E-lig	0.835943341255188	True	False	C:A	0.10554986447095871	0.9846938848495483	1.0	0.0744648277759552	16.147	0.84	0.574	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	4	boltz-2	DMS-1-C-lig	0.760346531867981	False	False	C:B	7.486555576324463	0.0659722238779068	0.9791666666666666	0.07789836078882217	16.857	0.834	0.595	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	4	boltz-2	LIG1-1-D-lig	0.760346531867981	False	True	A:A	5.6194963455200195	0.25873252749443054	0.8362522686025409	0.597286581993103	16.857	0.834	0.595	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1449838082	4	boltz-2	ZN-1-E-lig	0.760346531867981	True	False	C:A	0.07773543149232864	0.9852941036224365	1.0	0.0698593258857727	16.857	0.834	0.595	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	3	boltz-2	DMS-1-C-lig	0.7451391220092773	False	False	C:B	13.396177291870117	0.0	0.98125	0.07270506769418716	16.25	0.831	0.582	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1449838082	3	boltz-2	LIG1-1-D-lig	0.7451391220092773	False	True	A:A	4.5415449142456055	0.36867815256118774	0.8437386569872958	0.6085327863693237	16.25	0.831	0.582	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1449838082	3	boltz-2	ZN-1-E-lig	0.7451391220092773	True	False	C:A	0.11114893853664398	0.9950000047683716	1.0	0.06486409157514572	16.25	0.831	0.582	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	2	boltz-2	DMS-1-C-lig	0.8090137839317322	False	False	C:B	13.49774169921875	0.0022935778833925724	0.9666666666666667	0.07069403678178787	15.791	0.831	0.581	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	2	boltz-2	LIG1-1-D-lig	0.8090137839317322	False	True	A:A	3.8632876873016357	0.5551156997680664	0.8568058076225046	0.5562340617179871	15.791	0.831	0.581	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1880307061	2	boltz-2	ZN-1-E-lig	0.8090137839317322	True	False	C:A	0.1388469785451889	0.9795918464660645	1.0	0.07193197309970856	15.791	0.831	0.581	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	0	boltz-2	DMS-1-C-lig	0.7466365694999695	False	False	C:B	13.190935134887695	0.0	0.9729166666666667	0.06536529958248138	16.044	0.835	0.584	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	0	boltz-2	LIG1-1-D-lig	0.7466365694999695	False	True	A:A	3.296327590942383	0.6048488616943359	0.8813520871143375	0.47705474495887756	16.044	0.835	0.584	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1880307061	0	boltz-2	ZN-1-E-lig	0.7466365694999695	True	False	C:A	0.11271898448467255	0.9800000190734863	1.0	0.06244732439517975	16.044	0.835	0.584	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	3	boltz-2	DMS-1-C-lig	0.7616804838180542	False	False	C:A	10.425762176513672	0.005747126415371895	0.9625	0.08416498452425003	16.137	0.835	0.574	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	3	boltz-2	LIG1-1-D-lig	0.7616804838180542	False	True	A:A	4.046957015991211	0.5738565921783447	0.8542196007259528	0.5382764935493469	16.137	0.835	0.574	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1880307061	3	boltz-2	ZN-1-E-lig	0.7616804838180542	True	False	A:A	0.1236300989985466	0.9950000047683716	1.0	0.10151688009500504	16.137	0.835	0.574	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	4	boltz-2	DMS-1-C-lig	0.8001891374588013	False	False	C:B	10.479642868041992	0.0060240961611270905	0.9645833333333333	0.07416340708732605	16.696	0.834	0.587	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	4	boltz-2	LIG1-1-D-lig	0.8001891374588013	False	True	A:A	4.639845848083496	0.38111889362335205	0.8433756805807623	0.608097493648529	16.696	0.834	0.587	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1880307061	4	boltz-2	ZN-1-E-lig	0.8001891374588013	True	False	C:A	0.10263118147850037	0.9846938848495483	1.0	0.08768437057733536	16.696	0.834	0.587	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	1	boltz-2	DMS-1-C-lig	0.8146000504493713	False	False	C:B	13.555560111999512	0.0	0.96875	0.07006371021270752	16.153	0.833	0.575	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1880307061	1	boltz-2	LIG1-1-D-lig	0.8146000504493713	False	True	A:A	5.825948715209961	0.25912779569625854	0.8506805807622505	0.5935476422309875	16.153	0.833	0.575	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1880307061	1	boltz-2	ZN-1-E-lig	0.8146000504493713	True	False	C:A	0.13626021146774292	0.9744898080825806	1.0	0.07688838243484497	16.153	0.833	0.575	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	3	boltz-2	DMS-1-C-lig	0.7702691555023193	False	False	C:A	9.827227592468262	0.0032051282469183207	0.9354166666666667	0.08449484407901764	16.756	0.84	0.6	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	3	boltz-2	LIG1-1-D-lig	0.7702691555023193	False	True	A:A	5.753489017486572	0.26726803183555603	0.8569419237749546	0.5569866895675659	16.756	0.84	0.6	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1370180479	3	boltz-2	ZN-1-E-lig	0.7702691555023193	True	False	A:A	0.12931819260120392	0.9795918464660645	1.0	0.09760622680187225	16.756	0.84	0.6	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	0	boltz-2	DMS-1-C-lig	0.6596154570579529	False	False	C:A	7.564449787139893	0.05521472543478012	0.96875	0.06931380927562714	15.967	0.835	0.586	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	0	boltz-2	LIG1-1-D-lig	0.6596154570579529	False	True	A:A	3.9037206172943115	0.5758323073387146	0.8542649727767695	0.5632173418998718	15.967	0.835	0.586	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1370180479	0	boltz-2	ZN-1-E-lig	0.6596154570579529	True	False	C:A	0.09401953965425491	0.9711538553237915	1.0	0.08580853044986725	15.967	0.835	0.586	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	4	boltz-2	DMS-1-C-lig	0.5168484449386597	False	False	C:A	8.061604499816895	0.035185184329748154	0.9958333333333333	0.06602541357278824	16.216	0.833	0.583	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	4	boltz-2	LIG1-1-D-lig	0.5168484449386597	False	True	A:A	5.31002950668335	0.28199175000190735	0.842059891107078	0.577717661857605	16.216	0.833	0.583	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1370180479	4	boltz-2	ZN-1-E-lig	0.5168484449386597	True	False	C:A	0.1125992015004158	0.9800000190734863	1.0	0.08725548535585403	16.216	0.833	0.583	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	2	boltz-2	DMS-1-C-lig	0.6971499919891357	False	False	C:B	13.702707290649414	0.0	0.9854166666666667	0.06961836665868759	16.128	0.836	0.579	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	2	boltz-2	LIG1-1-D-lig	0.6971499919891357	False	True	A:A	5.854546070098877	0.27279484272003174	0.8731851179673321	0.4848329722881317	16.128	0.836	0.579	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1370180479	2	boltz-2	ZN-1-E-lig	0.6971499919891357	True	False	C:A	0.12479718774557114	0.9897959232330322	1.0	0.08906179666519165	16.128	0.836	0.579	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	1	boltz-2	DMS-1-C-lig	0.7004433870315552	False	False	C:A	7.511129856109619	0.05166666582226753	0.9791666666666666	0.07878240942955017	16.726	0.836	0.585	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1370180479	1	boltz-2	LIG1-1-D-lig	0.7004433870315552	False	True	A:A	3.663403272628784	0.5672009587287903	0.8592558983666062	0.5691816806793213	16.726	0.836	0.585	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1370180479	1	boltz-2	ZN-1-E-lig	0.7004433870315552	True	False	A:A	0.10918775945901871	0.9850000143051147	1.0	0.09047956019639969	16.726	0.836	0.585	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	4	boltz-2	DMS-1-C-lig	0.665615439414978	False	False	C:A	7.522423267364502	0.05421686917543411	0.9979166666666667	0.054084789007902145	16.297	0.833	0.582	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	4	boltz-2	LIG1-1-D-lig	0.665615439414978	False	True	A:A	6.2898993492126465	0.2321428507566452	0.8415154264972777	0.5818049907684326	16.297	0.833	0.582	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1832854922	4	boltz-2	ZN-1-E-lig	0.665615439414978	True	False	A:A	0.10484939813613892	0.9846938848495483	1.0	0.09758931398391724	16.297	0.833	0.582	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	2	boltz-2	DMS-1-C-lig	0.7021273374557495	False	False	C:B	10.352326393127441	0.0030487803742289543	0.94375	0.0882875919342041	16.797	0.835	0.597	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	2	boltz-2	LIG1-1-D-lig	0.7021273374557495	False	True	A:A	5.049603462219238	0.311413049697876	0.8311705989110708	0.6555794477462769	16.797	0.835	0.597	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1832854922	2	boltz-2	ZN-1-E-lig	0.7021273374557495	True	False	A:A	0.11239096522331238	0.9850000143051147	1.0	0.09311211854219437	16.797	0.835	0.597	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	3	boltz-2	DMS-1-C-lig	0.6253329515457153	False	False	C:B	13.699724197387695	0.0	0.9875	0.07192981243133545	16.042	0.838	0.585	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	3	boltz-2	LIG1-1-D-lig	0.6253329515457153	False	True	A:A	3.3626506328582764	0.6060048937797546	0.8671506352087114	0.492964506149292	16.042	0.838	0.585	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1832854922	3	boltz-2	ZN-1-E-lig	0.6253329515457153	True	False	A:A	0.1408768594264984	0.9791666865348816	1.0	0.10708409547805786	16.042	0.838	0.585	A:A,C:B	None	None	None
